[*] 瑁佸垽鍚姩: pypy57 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260944
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[ 88] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.56s (score=-10 depth=6)
[ 89] 绾?i2i3 (7, 8)->(6, 8)  鐢ㄦ椂 1.00s (score=8 depth=5)
[ 90] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 0.89s (score=10 depth=6)
[ 91] 绾?i3i4 (6, 8)->(5, 8)  鐢ㄦ椂 0.86s (score=11 depth=5)
[ 92] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.42s (score=-10 depth=7)
[ 93] 绾?i4i5 (5, 8)->(4, 8)  鐢ㄦ椂 0.75s (score=10 depth=5)
[ 94] 榛?f1e1 (1, 3)->(1, 4)  鐢ㄦ椂 0.85s (score=10 depth=6)
[ 95] 绾?i5i6 (4, 8)->(3, 8)  鐢ㄦ椂 0.87s (score=13 depth=5)
[ 96] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.56s (score=-10 depth=6)
[ 97] 绾?i6i7 (3, 8)->(2, 8)  鐢ㄦ椂 0.89s (score=13 depth=5)
[ 98] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 1.41s (score=10 depth=7)
[ 99] 绾?h5h6 (4, 7)->(3, 7)  鐢ㄦ椂 1.07s (score=2 depth=5)
[100] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.20s (score=-10 depth=7)
[101] 绾?h6h7 (3, 7)->(2, 7)  鐢ㄦ椂 0.79s (score=17 depth=5)
[102] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 1.57s (score=10 depth=7)
[103] 绾?f9f8 (0, 5)->(1, 5)  鐢ㄦ椂 1.57s (score=-7 depth=6)
[104] 榛?e1d1 (1, 4)->(1, 5) 鍚?r杌?鐢ㄦ椂 1.57s (score=299 depth=7)
[105] 绾?h7g7 (2, 7)->(2, 6)  鐢ㄦ椂 1.07s (score=0 depth=6)
[106] 榛?d1e1 (1, 5)->(1, 4)  鐢ㄦ椂 1.05s (score=10 depth=7)
[107] 绾?g7f7 (2, 6)->(2, 5)  鐢ㄦ椂 1.53s (score=5 depth=5)
[108] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.51s (score=20 depth=7)
[109] 绾?e5g7 (4, 4)->(2, 6)  鐢ㄦ椂 1.53s (score=5 depth=5)
[110] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 0.83s (score=-20 depth=7)
[111] 绾?i7i8 (2, 8)->(1, 8)  鐢ㄦ椂 1.56s (score=15 depth=5)
[112] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.57s (score=-10 depth=6)
[113] 绾?h8h9 (1, 7)->(0, 7)  鐢ㄦ椂 1.54s (score=2 depth=5)
[114] 榛?f1e1 (1, 3)->(1, 4)  鐢ㄦ椂 1.10s (score=10 depth=7)
[115] 绾?e4e5 (5, 4)->(4, 4)  鐢ㄦ椂 1.54s (score=10 depth=5)
[116] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.56s (score=-10 depth=6)
[117] 绾?i8h8 (1, 8)->(1, 7)  鐢ㄦ椂 1.56s (score=9 depth=5)
[118] 榛?f1e1 (1, 3)->(1, 4)  鐢ㄦ椂 0.74s (score=10 depth=7)
[119] 绾?e5d5 (4, 4)->(4, 3)  鐢ㄦ椂 1.58s (score=-2 depth=5)
[120] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.17s (score=-10 depth=10)
[121] 绾?e6e3 (3, 4)->(6, 4)  鐢ㄦ椂 1.18s (score=10 depth=9)
[122] 榛?f1e1 (1, 3)->(1, 4)  鐢ㄦ椂 0.67s (score=10 depth=12)
[123] 绾?f7e7 (2, 5)->(2, 4)  鐢ㄦ椂 1.17s (score=18 depth=8)
[124] 榛?e1e2 (1, 4)->(2, 4) 鍚?r鍏?鐢ㄦ椂 1.53s (score=87 depth=7)
[125] 绾?d5d6 (4, 3)->(3, 3)  鐢ㄦ椂 1.54s (score=12 depth=5)
[126] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 0.78s (score=10 depth=7)
[127] 绾?g7e5 (2, 6)->(4, 4)  鐢ㄦ椂 1.16s (score=-5 depth=6)
[128] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.25s (score=-10 depth=10)
[129] 绾?e1f2 (8, 4)->(7, 5)  鐢ㄦ椂 1.51s (score=-5 depth=6)
[130] 榛?f1f0 (1, 3)->(0, 3)  鐢ㄦ椂 1.40s (score=20 depth=12)
[131] 绾?e3d3 (6, 4)->(6, 3)  鐢ㄦ椂 1.53s (score=-14 depth=8)
[132] 榛?f0e0 (0, 3)->(0, 4)  鐢ㄦ椂 1.56s (score=10 depth=7)
[133] 绾?d6d7 (3, 3)->(2, 3)  鐢ㄦ椂 1.30s (score=30 depth=6)
[134] 榛?e0d0 (0, 4)->(0, 5)  鐢ㄦ椂 0.93s (score=-10 depth=7)
[135] 绾?d7d8 (2, 3)->(1, 3)  鐢ㄦ椂 1.53s (score=22 depth=5)
[136] 榛?d0e0 (0, 5)->(0, 4)  鐢ㄦ椂 0.88s (score=10 depth=8)
[137] 绾?d3e3 (6, 3)->(6, 4)  鐢ㄦ椂 0.51s (score=14 depth=12)
[138] 榛?e0d0 (0, 4)->(0, 5)  鐢ㄦ椂 0.33s (score=-10 depth=12)
[139] 绾?e3e1 (6, 4)->(8, 4)  鐢ㄦ椂 0.21s (score=-5 depth=12)
[140] 榛?d0d1 (0, 5)->(1, 5)  鐢ㄦ椂 0.16s (score=-20 depth=12)
[141] 绾?e1f1 (8, 4)->(8, 5)  鐢ㄦ椂 0.04s (score=-7 depth=12)
[142] 榛?d1d2 (1, 5)->(2, 5)  鐢ㄦ椂 0.05s (score=-10 depth=12)
[143] 绾?f1f7 (8, 5)->(2, 5) 鍚?b灏?鐢ㄦ椂 0.02s (score=3696 depth=12)

========================================================
瀵瑰眬缁撴灉
========================================================
鑳滆€? pypy57 (绾㈡柟)
鍘熷洜: 绗?143 鐫€鍚冩帀 灏? 鑾疯儨
鎬绘鏁? 143 鐫€, 鍏ㄥ眬澧欓挓 164.6s

鍙屾柟鐢ㄦ椂:
  pypy57 (绾㈡柟):  72 鐫€  鎬荤敤鏃?   81.0s  骞冲潎  1.13s  鏈€闀?  1.59s
  pypy  (榛戞柟):  71 鐫€  鎬荤敤鏃?   83.1s  骞冲潎  1.17s  鏈€闀?  1.58s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260820_211755.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 路 路 路 路 路 路 r鐐?路
 1 | 路 路 路 r鍏?路 路 路 r鍏?路
 2 | 路 路 路 路 路 r鐐?路 路 路
 3 | 路 路 路 路 路 路 路 路 路
 4 | 路 路 路 路 r鐩?路 路 路 路
 5 | 路 路 路 路 路 路 路 路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 路 路 r浠?路 路 路
 8 | 路 路 路 路 路 路 路 路 路
 9 | 路 r鍏?路 路 r甯?路 路 路 路
