[*] 瑁佸垽鍚姩: pypy3 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260915
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[ 14] 榛?i4e4 (4, 0)->(4, 4)  鐢ㄦ椂 1.28s (score=7 depth=6)
[ 15] 绾?e4e5 (5, 4)->(4, 4) 鍚?b杌?鐢ㄦ椂 0.93s (score=305 depth=5)
[ 16] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=杌?鍚?r杌?鐢ㄦ椂 1.38s (score=381 depth=7)
[ 17] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=鍏?鐢ㄦ椂 1.49s (score=26 depth=6)
[ 18] 榛?e4e5 (4, 4)->(5, 4)  鐢ㄦ椂 0.76s (score=0 depth=5)
[ 19] 绾?g4g2 (5, 6)->(7, 6)  鐢ㄦ椂 1.54s (score=-29 depth=5)
[ 20] 榛?g0e2 (0, 2)->(2, 4) 缈诲紑=鍗?鐢ㄦ椂 1.13s (score=37 depth=5)
[ 21] 绾?a4c3 (5, 0)->(6, 2)  鐢ㄦ椂 0.85s (score=8 depth=5)
[ 22] 榛?e5e6 (5, 4)->(6, 4)  鐢ㄦ椂 1.52s (score=1 depth=5)
[ 23] 绾?c3d1 (6, 2)->(8, 3)  鐢ㄦ椂 0.89s (score=-19 depth=6)
[ 24] 榛?e6a6 (6, 4)->(6, 8) 鍚?r鍏?鐢ㄦ椂 1.48s (score=65 depth=6)
[ 25] 绾?g2e2 (7, 6)->(7, 4)  鐢ㄦ椂 0.96s (score=40 depth=6)
[ 26] 榛?d0e1 (0, 5)->(1, 4) 缈诲紑=鐐?鐢ㄦ椂 0.77s (score=38 depth=6)
[ 27] 绾?a0a9 (9, 0)->(0, 0) 缈诲紑=浠?鍚?b澹?鐢ㄦ椂 1.17s (score=139.0 depth=6)
[ 28] 榛?a6f6 (6, 8)->(6, 3)  鐢ㄦ椂 1.57s (score=39 depth=5)
[ 29] 绾?d1b0 (8, 3)->(9, 1) 鍚?b棣?鐢ㄦ椂 0.99s (score=106 depth=6)
[ 30] 榛?c0a2 (0, 6)->(2, 8) 缈诲紑=鍗?鐢ㄦ椂 1.58s (score=37 depth=5)
[ 31] 绾?h2h8 (7, 7)->(1, 7) 缈诲紑=鍏?鐢ㄦ椂 0.97s (score=75 depth=6)
[ 32] 榛?f6g6 (6, 3)->(6, 2)  鐢ㄦ椂 1.27s (score=-37 depth=6)
[ 33] 绾?e2c2 (7, 4)->(7, 2)  鐢ㄦ椂 1.53s (score=-40 depth=6)
[ 34] 榛?b0d1 (0, 7)->(1, 5) 缈诲紑=璞?鐢ㄦ椂 1.27s (score=36 depth=6)
[ 35] 绾?h8h9 (1, 7)->(0, 7)  鐢ㄦ椂 1.54s (score=0 depth=5)
[ 36] 榛?a0a1 (0, 8)->(1, 8) 缈诲紑=璞?鐢ㄦ椂 1.57s (score=-13.625 depth=6)
[ 37] 绾?h9i9 (0, 7)->(0, 8)  鐢ㄦ椂 0.78s (score=-9 depth=6)
[ 38] 榛?d1b3 (1, 5)->(3, 7)  鐢ㄦ椂 1.09s (score=8 depth=7)
[ 39] 绾?h0h6 (9, 7)->(3, 7) 鍚?b璞?鐢ㄦ椂 0.86s (score=41 depth=7)
[ 40] 榛?g6d6 (6, 2)->(6, 5)  鐢ㄦ椂 1.54s (score=37 depth=6)
[ 41] 绾?h6h9 (3, 7)->(0, 7)  鐢ㄦ椂 1.53s (score=36 depth=6)
[ 42] 榛?d6d0 (6, 5)->(0, 5)  鐢ㄦ椂 1.54s (score=-7 depth=7)
[ 43] 绾?h9f9 (0, 7)->(0, 5) 鍚?b杌?鐢ㄦ椂 1.54s (score=340 depth=6)
[ 44] 榛?e0d0 (0, 4)->(0, 5) 鍚?r杌?鐢ㄦ椂 1.50s (score=336 depth=7)
[ 45] 绾?c0a2 (9, 2)->(7, 0) 缈诲紑=鐩?鐢ㄦ椂 0.80s (score=43 depth=6)
[ 46] 榛?h0f1 (0, 1)->(1, 3) 缈诲紑=澹?鐢ㄦ椂 1.20s (score=46 depth=7)
[ 47] 绾?a2c4 (7, 0)->(5, 2)  鐢ㄦ椂 1.52s (score=-4 depth=6)
[ 48] 榛?e2e3 (2, 4)->(3, 4)  鐢ㄦ椂 1.04s (score=10 depth=6)
[ 49] 绾?c2c6 (7, 2)->(3, 2) 鍚?b鍗?鐢ㄦ椂 1.12s (score=126 depth=7)
[ 50] 榛?a4a5 (4, 8)->(5, 8)  鐢ㄦ椂 1.12s (score=10 depth=6)
[ 51] 绾?e1e2 (8, 4)->(7, 4)  鐢ㄦ椂 1.53s (score=15 depth=6)
[ 52] 榛?e3e4 (3, 4)->(4, 4)  鐢ㄦ椂 1.23s (score=14 depth=6)
[ 53] 绾?f0e1 (9, 5)->(8, 4) 缈诲紑=棣?鐢ㄦ椂 1.52s (score=41 depth=6)
[ 54] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.47s (score=-6 depth=6)
[ 55] 绾?b0c2 (9, 1)->(7, 2)  鐢ㄦ椂 1.21s (score=29 depth=6)
[ 56] 榛?e0i0 (0, 4)->(0, 0) 鍚?r浠?鐢ㄦ椂 1.53s (score=85 depth=5)
[ 57] 绾?e2e3 (7, 4)->(6, 4)  鐢ㄦ椂 0.58s (score=10 depth=5)
[ 58] 榛?f1g2 (1, 3)->(2, 2)  鐢ㄦ椂 1.00s (score=-4 depth=6)
[ 59] 绾?c6e6 (3, 2)->(3, 4)  鐢ㄦ椂 0.90s (score=1 depth=6)
[ 60] 榛?f0e1 (0, 3)->(1, 4) 缈诲紑=鐐?鐢ㄦ椂 0.92s (score=45 depth=6)
[ 61] 绾?e1f3 (8, 4)->(6, 5)  鐢ㄦ椂 1.21s (score=16 depth=6)
[ 62] 榛?i0e0 (0, 0)->(0, 4)  鐢ㄦ椂 0.74s (score=3 depth=5)
[ 63] 绾?g0e2 (9, 6)->(7, 4) 缈诲紑=鍏?鐢ㄦ椂 1.00s (score=43 depth=6)
[ 64] 榛?e0e3 (0, 4)->(3, 4) 鍚?r鐐?鐢ㄦ椂 0.90s (score=141 depth=6)
[ 65] 绾?c4e6 (5, 2)->(3, 4) 鍚?b鐐?鐢ㄦ椂 0.88s (score=134 depth=7)
[ 66] 榛?a2a3 (2, 8)->(3, 8)  鐢ㄦ椂 0.96s (score=8 depth=6)
[ 67] 绾?c2b4 (7, 2)->(5, 1)  鐢ㄦ椂 0.81s (score=4 depth=6)
[ 68] 榛?a5a6 (5, 8)->(6, 8)  鐢ㄦ椂 1.02s (score=13 depth=6)
[ 69] 绾?b4d5 (5, 1)->(4, 3)  鐢ㄦ椂 1.51s (score=15 depth=7)
[ 70] 榛?g2f1 (2, 2)->(1, 3)  鐢ㄦ椂 1.52s (score=4 depth=7)
[ 71] 绾?e6g4 (3, 4)->(5, 6)  鐢ㄦ椂 1.53s (score=6 depth=6)
[ 72] 榛?a3a4 (3, 8)->(4, 8)  鐢ㄦ椂 0.67s (score=11 depth=6)
[ 73] 绾?f3e5 (6, 5)->(4, 4) 鍚?b鍗?鐢ㄦ椂 0.95s (score=48 depth=7)
[ 74] 榛?a6b6 (6, 8)->(6, 7)  鐢ㄦ椂 1.55s (score=10 depth=6)
[ 75] 绾?e5f7 (4, 4)->(2, 5)  鐢ㄦ椂 1.05s (score=1 depth=8)
[ 76] 榛?f1g0 (1, 3)->(0, 2)  鐢ㄦ椂 1.06s (score=-12 depth=7)
[ 77] 绾?i9h9 (0, 8)->(0, 7)  鐢ㄦ椂 0.65s (score=9 depth=6)
[ 78] 榛?b6b7 (6, 7)->(7, 7)  鐢ㄦ椂 1.36s (score=17 depth=7)
[ 79] 绾?b8d6 (1, 1)->(3, 3)  鐢ㄦ椂 0.77s (score=-25 depth=7)
[ 80] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.05s (score=5 depth=8)
[ 81] 绾?d6f4 (3, 3)->(5, 5)  鐢ㄦ椂 1.44s (score=0 depth=8)
[ 82] 榛?e2e0 (2, 4)->(0, 4)  鐢ㄦ椂 1.00s (score=-11 depth=7)
[ 83] 绾?f7h8 (2, 5)->(1, 7)  鐢ㄦ椂 1.25s (score=-9 depth=8)
[ 84] 榛?d0d1 (0, 5)->(1, 5)  鐢ㄦ椂 0.98s (score=-20 depth=8)
[ 85] 绾?d5c7 (4, 3)->(2, 2)  鐢ㄦ椂 0.93s (score=-19 depth=8)
[ 86] 榛?e0e2 (0, 4)->(2, 4)  鐢ㄦ椂 1.32s (score=11 depth=9)
[ 87] 绾?f4h6 (5, 5)->(3, 7)  鐢ㄦ椂 1.37s (score=1 depth=9)
[ 88] 榛?e2c2 (2, 4)->(2, 6)  鐢ㄦ椂 1.54s (score=-40 depth=10)
[ 89] 绾?c7e6 (2, 2)->(3, 4)  鐢ㄦ椂 0.94s (score=6 depth=9)
[ 90] 榛?d1e1 (1, 5)->(1, 4)  鐢ㄦ椂 1.50s (score=10 depth=9)
[ 91] 绾?e6g7 (3, 4)->(2, 6) 鍚?b鐐?鐢ㄦ椂 1.53s (score=94 depth=8)
[ 92] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.54s (score=20 depth=8)
[ 93] 绾?h6f4 (3, 7)->(5, 5)  鐢ㄦ椂 1.04s (score=-1 depth=7)
[ 94] 榛?b7b8 (7, 7)->(8, 7)  鐢ㄦ椂 1.46s (score=10 depth=9)
[ 95] 绾?g7i8 (2, 6)->(1, 8) 鍚?b璞?鐢ㄦ椂 0.80s (score=61 depth=7)
[ 96] 榛?a4a5 (4, 8)->(5, 8)  鐢ㄦ椂 1.54s (score=10 depth=8)
[ 97] 绾?h8g6 (1, 7)->(3, 6)  鐢ㄦ椂 0.89s (score=-4 depth=7)
[ 98] 榛?g0f1 (0, 2)->(1, 3)  鐢ㄦ椂 1.18s (score=12 depth=8)
[ 99] 绾?i8h6 (1, 8)->(3, 7)  鐢ㄦ椂 0.94s (score=18 depth=7)
[100] 榛?a5a6 (5, 8)->(6, 8)  鐢ㄦ椂 1.07s (score=13 depth=8)
[101] 绾?h6g8 (3, 7)->(1, 6)  鐢ㄦ椂 1.53s (score=27 depth=7)
[102] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 0.77s (score=-20 depth=8)
[103] 绾?e3e4 (6, 4)->(5, 4)  鐢ㄦ椂 0.89s (score=14 depth=7)
[104] 榛?a6b6 (6, 8)->(6, 7)  鐢ㄦ椂 1.26s (score=10 depth=7)
[105] 绾?e4e5 (5, 4)->(4, 4)  鐢ㄦ椂 1.51s (score=10 depth=6)
[106] 榛?b6c6 (6, 7)->(6, 6)  鐢ㄦ椂 1.46s (score=-10 depth=8)
[107] 绾?e5e6 (4, 4)->(3, 4)  鐢ㄦ椂 1.14s (score=21 depth=7)
[108] 榛?c6c7 (6, 6)->(7, 6)  鐢ㄦ椂 1.11s (score=27 depth=7)
[109] 绾?h9g9 (0, 7)->(0, 6)  鐢ㄦ椂 1.26s (score=1 depth=7)
[110] 榛?c7c8 (7, 6)->(8, 6)  鐢ㄦ椂 1.51s (score=15 depth=7)
[111] 绾?e0d0 (9, 4)->(9, 3)  鐢ㄦ椂 1.18s (score=-10 depth=7)
[112] 榛?c8d8 (8, 6)->(8, 5)  鐢ㄦ椂 0.79s (score=12 depth=7)
[113] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[114] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.39s (score=20 depth=11)
[115] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.86s (score=30 depth=12)
[116] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.04s (score=-20 depth=9)
[117] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[118] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.42s (score=20 depth=11)
[119] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.82s (score=30 depth=12)
[120] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.01s (score=-20 depth=9)
[121] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[122] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.39s (score=20 depth=11)
[123] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.79s (score=30 depth=12)
[124] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.03s (score=-20 depth=9)
[125] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[126] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[127] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.80s (score=30 depth=12)
[128] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[129] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[130] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[131] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[132] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.05s (score=-20 depth=9)
[133] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[134] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[135] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[136] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.03s (score=-20 depth=9)
[137] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[138] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.39s (score=20 depth=11)
[139] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.79s (score=30 depth=12)
[140] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.03s (score=-20 depth=9)
[141] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.45s (score=-30 depth=12)
[142] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.38s (score=20 depth=11)
[143] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[144] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[145] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[146] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.46s (score=20 depth=11)
[147] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.84s (score=30 depth=12)
[148] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.20s (score=-20 depth=9)
[149] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.44s (score=-30 depth=12)
[150] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.51s (score=20 depth=10)
[151] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[152] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.03s (score=-20 depth=9)
[153] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[154] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.38s (score=20 depth=11)
[155] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.79s (score=30 depth=12)
[156] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[157] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[158] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[159] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[160] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.01s (score=-20 depth=9)
[161] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.36s (score=-30 depth=12)
[162] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[163] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.84s (score=30 depth=12)
[164] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.05s (score=-20 depth=9)
[165] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.36s (score=-30 depth=12)
[166] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.38s (score=20 depth=11)
[167] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[168] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[169] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[170] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[171] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.82s (score=30 depth=12)
[172] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.05s (score=-20 depth=9)
[173] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.39s (score=-30 depth=12)
[174] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.41s (score=20 depth=11)
[175] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.80s (score=30 depth=12)
[176] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.04s (score=-20 depth=9)
[177] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[178] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.39s (score=20 depth=11)
[179] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.86s (score=30 depth=12)
[180] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.07s (score=-20 depth=9)
[181] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.43s (score=-30 depth=12)
[182] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.42s (score=20 depth=11)
[183] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.93s (score=30 depth=12)
[184] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.12s (score=-20 depth=9)
[185] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.40s (score=-30 depth=12)
[186] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.41s (score=20 depth=11)
[187] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.82s (score=30 depth=12)
[188] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.06s (score=-20 depth=9)
[189] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[190] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[191] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.82s (score=30 depth=12)
[192] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[193] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[194] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.46s (score=20 depth=11)
[195] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)
[196] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[197] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.37s (score=-30 depth=12)
[198] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.38s (score=20 depth=11)
[199] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.80s (score=30 depth=12)
[200] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[201] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.40s (score=-30 depth=12)
[202] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.41s (score=20 depth=11)
[203] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.87s (score=30 depth=12)
[204] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.04s (score=-20 depth=9)
[205] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.38s (score=-30 depth=12)
[206] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.39s (score=20 depth=11)
[207] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.80s (score=30 depth=12)
[208] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.03s (score=-20 depth=9)
[209] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.36s (score=-30 depth=12)
[210] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.40s (score=20 depth=11)
[211] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.83s (score=30 depth=12)
[212] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 1.02s (score=-20 depth=9)
[213] 绾?g8f6 (1, 6)->(3, 5)  鐢ㄦ椂 0.39s (score=-30 depth=12)
[214] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.41s (score=20 depth=11)
[215] 绾?f6g8 (3, 5)->(1, 6)  鐢ㄦ椂 0.81s (score=30 depth=12)

========================================================
瀵瑰眬缁撴灉
========================================================
鍜屾
鍘熷洜: 杩炵画 120 涓崐鐫€鏃犲悆瀛? 鍒ゅ拰
鎬绘鏁? 215 鐫€, 鍏ㄥ眬澧欓挓 225.1s

鍙屾柟鐢ㄦ椂:
  pypy3 (绾㈡柟): 108 鐫€  鎬荤敤鏃?   94.8s  骞冲潎  0.88s  鏈€闀?  1.54s
  pypy  (榛戞柟): 107 鐫€  鎬荤敤鏃?  130.1s  骞冲潎  1.22s  鏈€闀?  1.58s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260819_145430.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 路 路 路 b灏?路 r鍏?路 路
 1 | 路 路 路 b澹?路 路 r棣?路 路
 2 | 路 路 路 路 路 路 路 路 路
 3 | 路 路 路 路 r鍏?路 r棣?路 路
 4 | 路 路 路 路 路 路 路 路 路
 5 | 路 路 路 路 路 r鐩?r鐩?路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 路 r鍏?路 路 路 路
 8 | 路 路 路 路 路 b鍗?路 b鍗?路
 9 | 路 路 路 r甯?路 路 路 路 路
