[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260931
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[ 39] 绾?c6e4 (3, 2)->(5, 4)  鐢ㄦ椂 1.31s (score=-5 depth=7)
[ 40] 榛?g4g6 (4, 2)->(6, 2)  鐢ㄦ椂 0.70s (score=0 depth=6)
[ 41] 绾?b0c1 (9, 1)->(8, 2)  鐢ㄦ椂 0.77s (score=3 depth=6)
[ 42] 榛?e3e4 (3, 4)->(4, 4)  鐢ㄦ椂 0.94s (score=14 depth=6)
[ 43] 绾?e4g6 (5, 4)->(3, 6)  鐢ㄦ椂 0.80s (score=5 depth=6)
[ 44] 榛?g6h6 (6, 2)->(6, 1)  鐢ㄦ椂 1.43s (score=0 depth=6)
[ 45] 绾?a2c0 (7, 0)->(9, 2)  鐢ㄦ椂 0.85s (score=5 depth=6)
[ 46] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 0.67s (score=15 depth=5)
[ 47] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=棣?鐢ㄦ椂 0.95s (score=47 depth=6)
[ 48] 榛?d0e0 (0, 5)->(0, 4)  鐢ㄦ椂 0.68s (score=10 depth=5)
[ 49] 绾?e1g2 (8, 4)->(7, 6)  鐢ㄦ椂 1.05s (score=15 depth=6)
[ 50] 榛?i2h3 (2, 0)->(3, 1)  鐢ㄦ椂 1.19s (score=0 depth=6)
[ 51] 绾?f0e1 (9, 5)->(8, 4) 缈诲紑=鍏?鐢ㄦ椂 0.90s (score=48 depth=6)
[ 52] 榛?i0i5 (0, 0)->(5, 0) 缈诲紑=澹?鍚?r鍏?鐢ㄦ椂 1.50s (score=74.0 depth=5)
[ 53] 绾?c1d0 (8, 2)->(9, 3)  鐢ㄦ椂 0.95s (score=9 depth=6)
[ 54] 榛?h6h9 (6, 1)->(9, 1)  鐢ㄦ椂 1.51s (score=11 depth=5)
[ 55] 绾?h9g9 (0, 7)->(0, 6)  鐢ㄦ椂 1.34s (score=1 depth=7)
[ 56] 榛?e2e3 (2, 4)->(3, 4)  鐢ㄦ椂 1.46s (score=10 depth=6)
[ 57] 绾?g9f9 (0, 6)->(0, 5)  鐢ㄦ椂 1.51s (score=2 depth=7)
[ 58] 榛?e0d0 (0, 4)->(0, 5) 鍚?r鍏?鐢ㄦ椂 1.20s (score=77 depth=9)
[ 59] 绾?c8d9 (1, 2)->(0, 3) 鍚?b杌?鐢ㄦ椂 1.45s (score=106 depth=8)
[ 60] 榛?d0e0 (0, 5)->(0, 4)  鐢ㄦ椂 0.92s (score=10 depth=7)
[ 61] 绾?d9c8 (0, 3)->(1, 2)  鐢ㄦ椂 1.03s (score=-16 depth=7)
[ 62] 榛?h3g4 (3, 1)->(4, 2)  鐢ㄦ椂 1.17s (score=6 depth=7)
[ 63] 绾?e1e2 (8, 4)->(7, 4)  鐢ㄦ椂 1.53s (score=15 depth=6)
[ 64] 榛?g4f5 (4, 2)->(5, 3)  鐢ㄦ椂 0.72s (score=7 depth=6)
[ 65] 绾?g2f0 (7, 6)->(9, 5)  鐢ㄦ椂 0.85s (score=-9 depth=6)
[ 66] 榛?i5h4 (5, 0)->(4, 1)  鐢ㄦ椂 1.56s (score=4 depth=6)
[ 67] 绾?f0g2 (9, 5)->(7, 6)  鐢ㄦ椂 1.57s (score=9 depth=6)
[ 68] 榛?f5g6 (5, 3)->(6, 2)  鐢ㄦ椂 1.53s (score=6 depth=6)
[ 69] 绾?e2e3 (7, 4)->(6, 4)  鐢ㄦ椂 1.32s (score=10 depth=7)
[ 70] 榛?g6h7 (6, 2)->(7, 1)  鐢ㄦ椂 1.13s (score=21 depth=7)
[ 71] 绾?g2f0 (7, 6)->(9, 5)  鐢ㄦ椂 1.53s (score=-9 depth=6)
[ 72] 榛?h4g5 (4, 1)->(5, 2)  鐢ㄦ椂 1.52s (score=0 depth=7)
[ 73] 绾?e3e4 (6, 4)->(5, 4)  鐢ㄦ椂 1.53s (score=14 depth=6)
[ 74] 榛?e4e5 (4, 4)->(5, 4) 鍚?r鍏?鐢ㄦ椂 1.12s (score=39 depth=7)
[ 75] 绾?g6e4 (3, 6)->(5, 4) 鍚?b鍗?鐢ㄦ椂 1.14s (score=34 depth=7)
[ 76] 榛?g5f6 (5, 2)->(6, 3)  鐢ㄦ椂 1.51s (score=1 depth=7)
[ 77] 绾?e4g6 (5, 4)->(3, 6)  鐢ㄦ椂 1.47s (score=5 depth=7)
[ 78] 榛?h7g8 (7, 1)->(8, 2)  鐢ㄦ椂 1.51s (score=-10 depth=7)
[ 79] 绾?f0g2 (9, 5)->(7, 6)  鐢ㄦ椂 0.97s (score=9 depth=7)
[ 80] 榛?g8f9 (8, 2)->(9, 3) 鍚?r浠?鐢ㄦ椂 0.89s (score=120 depth=7)
[ 81] 绾?g2e3 (7, 6)->(6, 4)  鐢ㄦ椂 1.43s (score=4 depth=8)
[ 82] 榛?e3e4 (3, 4)->(4, 4)  鐢ㄦ椂 1.02s (score=14 depth=7)
[ 83] 绾?c8b7 (1, 2)->(2, 1)  鐢ㄦ椂 1.29s (score=10 depth=7)
[ 84] 榛?f9g8 (9, 3)->(8, 2)  鐢ㄦ椂 0.80s (score=-16 depth=7)
[ 85] 绾?c0a2 (9, 2)->(7, 0)  鐢ㄦ椂 1.52s (score=-5 depth=7)
[ 86] 榛?e4e5 (4, 4)->(5, 4)  鐢ㄦ椂 0.81s (score=10 depth=6)
[ 87] 绾?g6e4 (3, 6)->(5, 4) 鍚?b鍗?鐢ㄦ椂 0.93s (score=34 depth=7)
[ 88] 榛?h9h4 (9, 1)->(4, 1)  鐢ㄦ椂 1.12s (score=-14 depth=7)
[ 89] 绾?e0f0 (9, 4)->(9, 5)  鐢ㄦ椂 1.18s (score=-10 depth=7)
[ 90] 榛?h4e4 (4, 1)->(4, 4)  鐢ㄦ椂 1.06s (score=4 depth=7)
[ 91] 绾?e4g6 (5, 4)->(3, 6)  鐢ㄦ椂 0.95s (score=5 depth=7)
[ 92] 榛?g8f9 (8, 2)->(9, 3)  鐢ㄦ椂 1.10s (score=16 depth=7)
[ 93] 绾?a2c0 (7, 0)->(9, 2)  鐢ㄦ椂 1.12s (score=5 depth=7)
[ 94] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 0.80s (score=-9 depth=7)
[ 95] 绾?f0f1 (9, 5)->(8, 5)  鐢ㄦ椂 1.29s (score=-20 depth=8)
[ 96] 榛?e4e3 (4, 4)->(3, 4)  鐢ㄦ椂 1.47s (score=10 depth=7)
[ 97] 绾?e3f5 (6, 4)->(4, 5)  鐢ㄦ椂 1.51s (score=15 depth=8)
[ 98] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.08s (score=9 depth=7)
[ 99] 绾?f5d4 (4, 5)->(5, 3)  鐢ㄦ椂 0.95s (score=-11 depth=7)
[100] 榛?e3e8 (3, 4)->(8, 4)  鐢ㄦ椂 0.66s (score=-11 depth=6)
[101] 绾?f1f0 (8, 5)->(9, 5)  鐢ㄦ椂 0.91s (score=20 depth=7)
[102] 榛?e8e2 (8, 4)->(2, 4)  鐢ㄦ椂 0.84s (score=11 depth=6)
[103] 绾?d4e6 (5, 3)->(3, 4)  鐢ㄦ椂 1.05s (score=-2 depth=7)
[104] 榛?f6g7 (6, 3)->(7, 2)  鐢ㄦ椂 1.18s (score=2 depth=7)
[105] 绾?e6g5 (3, 4)->(4, 6) 鍚?b鍗?鐢ㄦ椂 0.81s (score=49 depth=7)
[106] 榛?g7f8 (7, 2)->(8, 3)  鐢ㄦ椂 1.50s (score=21 depth=7)
[107] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=鍏?鐢ㄦ椂 1.01s (score=72 depth=7)
[108] 榛?e2e6 (2, 4)->(6, 4)  鐢ㄦ椂 1.11s (score=-10 depth=7)
[109] 绾?g5e4 (4, 6)->(5, 4)  鐢ㄦ椂 0.84s (score=3 depth=7)
[110] 榛?f8g9 (8, 3)->(9, 2) 鍚?r鐩?鐢ㄦ椂 1.48s (score=23 depth=7)
[111] 绾?f0e0 (9, 5)->(9, 4)  鐢ㄦ椂 0.97s (score=10 depth=8)
[112] 榛?f9g8 (9, 3)->(8, 2)  鐢ㄦ椂 1.11s (score=-16 depth=8)
[113] 绾?e4f6 (5, 4)->(3, 5)  鐢ㄦ椂 0.78s (score=13 depth=7)
[114] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 0.88s (score=-10 depth=7)
[115] 绾?f6d5 (3, 5)->(4, 3)  鐢ㄦ椂 1.09s (score=-2 depth=8)
[116] 榛?e6e0 (6, 4)->(0, 4)  鐢ㄦ椂 0.83s (score=-1 depth=7)
[117] 绾?d5c7 (4, 3)->(2, 2)  鐢ㄦ椂 0.74s (score=-19 depth=7)
[118] 榛?f0f1 (0, 3)->(1, 3)  鐢ㄦ椂 0.90s (score=-20 depth=11)
[119] 绾?c7b9 (2, 2)->(0, 1)  鐢ㄦ椂 0.75s (score=6 depth=9)
[120] 榛?e0g0 (0, 4)->(0, 2)  鐢ㄦ椂 1.39s (score=-2 depth=10)
[121] 绾?g4g5 (5, 6)->(4, 6)  鐢ㄦ椂 1.07s (score=17 depth=9)
[122] 榛?g9f8 (9, 2)->(8, 3)  鐢ㄦ椂 0.69s (score=17 depth=8)
[123] 绾?e0f0 (9, 4)->(9, 5)  鐢ㄦ椂 1.51s (score=-10 depth=9)
[124] 榛?g8f9 (8, 2)->(9, 3)  鐢ㄦ椂 0.82s (score=16 depth=8)
[125] 绾?b7c8 (2, 1)->(1, 2)  鐢ㄦ椂 0.98s (score=-10 depth=9)
[126] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 0.77s (score=-9 depth=9)
[127] 绾?f0f1 (9, 5)->(8, 5)  鐢ㄦ椂 0.92s (score=-20 depth=11)
[128] 榛?e8f7 (8, 4)->(7, 3)  鐢ㄦ椂 1.08s (score=-15 depth=10)
[129] 绾?g5h5 (4, 6)->(4, 7)  鐢ㄦ椂 1.41s (score=18 depth=10)
[130] 榛?f8e7 (8, 3)->(7, 4)  鐢ㄦ椂 0.73s (score=-21 depth=9)
[131] 绾?f1f2 (8, 5)->(7, 5)  鐢ㄦ椂 0.81s (score=-10 depth=9)
[132] 榛?e7d6 (7, 4)->(6, 5)  鐢ㄦ椂 1.55s (score=-2 depth=9)
[133] 绾?h5i5 (4, 7)->(4, 8) 鍚?b鍗?鐢ㄦ椂 1.02s (score=33 depth=10)
[134] 榛?d6c7 (6, 5)->(7, 6)  鐢ㄦ椂 0.85s (score=2 depth=9)
[135] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=棣?鐢ㄦ椂 1.23s (score=74 depth=9)
[136] 榛?f7e8 (7, 3)->(8, 4)  鐢ㄦ椂 1.54s (score=15 depth=8)
[137] 绾?f2e2 (7, 5)->(7, 4)  鐢ㄦ椂 1.46s (score=10 depth=9)
[138] 榛?e8d9 (8, 4)->(9, 5)  鐢ㄦ椂 1.34s (score=9 depth=8)
[139] 绾?i4g5 (5, 8)->(4, 6)  鐢ㄦ椂 1.34s (score=9 depth=10)
[140] 榛?c7d6 (7, 6)->(6, 5)  鐢ㄦ椂 1.07s (score=-2 depth=12)
[141] 绾?g5f3 (4, 6)->(6, 5) 鍚?b澹?鐢ㄦ椂 0.26s (score=82 depth=12)
[142] 榛?d9c8 (9, 5)->(8, 6)  鐢ㄦ椂 0.38s (score=-16 depth=12)
[143] 绾?f3g1 (6, 5)->(8, 6) 鍚?b澹?鐢ㄦ椂 0.05s (score=83 depth=12)
[144] 榛?f1f2 (1, 3)->(2, 3)  鐢ㄦ椂 0.01s (score=-10 depth=12)
[145] 绾?c8d7 (1, 2)->(2, 3) 鍚?b灏?鐢ㄦ椂 0.01s (score=3696 depth=12)

========================================================
瀵瑰眬缁撴灉
========================================================
鑳滆€? pypy (绾㈡柟)
鍘熷洜: 绗?145 鐫€鍚冩帀 灏? 鑾疯儨
鎬绘鏁? 145 鐫€, 鍏ㄥ眬澧欓挓 161.3s

鍙屾柟鐢ㄦ椂:
  pypy  (绾㈡柟):  73 鐫€  鎬荤敤鏃?   81.4s  骞冲潎  1.12s  鏈€闀?  1.57s
  pypy57 (榛戞柟):  72 鐫€  鎬荤敤鏃?   79.7s  骞冲潎  1.11s  鏈€闀?  1.56s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260820_093621.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 r棣?b鐐?路 路 路 路 路 路
 1 | 路 路 路 路 路 路 路 路 路
 2 | 路 路 路 r浠?路 路 路 路 路
 3 | 路 路 路 路 路 路 r鐩?路 路
 4 | 路 路 路 路 路 路 路 路 r鍏?
 5 | 路 路 路 路 路 路 路 路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 路 r甯?路 路 路 r鍏?
 8 | 路 路 路 路 路 路 r棣?路 路
 9 | 路 路 路 路 路 路 路 路 路
